No,Seberapa sering anda menggunakan bahasa pemrograman C?,Seberapa tahukah anda tentang bahasa permograman Java?,Pernahkah anda membuat program menggunakan bahasa pemrograman Python?,Seberapa tahukah anda tentang Pemrograman Interface (API)?,Seberapa tahukah anda tentang Pemrograman Berorientasi Objek (OOP)?,Seberapa sering anda menggunakan programming software bajakan?,Seberapa perlunya dokumen manual/tutorial ketika membuat program?,Pernakah anda melakukan trial dan error atau mengembangkan program yang dibuat orang lain?,Seberapa seringkah anda menggunakan Extension saat membuat program?,"Seberapa sering anda mengelola (menginstal,menghapus,menonaktifkan instalasi) Extension anda?", Apakah anda sering menggunakan Extension berbayar?, Apakah anda sering menggunakan Auto Indent Extension?
1,3,2,2,1,1,3,5,1,1,1,1,1
2,1,2,2,1,1,3,5,1,1,1,1,1
3,1,2,1,3,2,1,4,4,3,3,1,1
4,4,2,1,2,2,1,4,1,1,3,1,1
5,3,2,1,1,1,1,1,1,1,1,1,1
6,1,2,2,2,4,2,5,4,3,1,1,1
7,1,4,2,3,4,2,4,1,2,2,1,1
8,1,1,1,2,1,1,1,1,1,1,1,1
9,4,2,3,2,3,1,2,1,3,3,1,3
10,1,4,1,2,1,3,4,1,1,3,3,2
11,3,3,1,4,4,1,4,4,3,3,2,2
12,4,2,1,1,2,2,5,1,3,3,1,1
13,1,2,1,1,1,2,4,4,1,2,1,1
14,1,1,1,1,1,3,4,1,1,1,1,1
15,4,4,1,1,4,4,4,5,1,4,4,4
16,3,2,1,2,2,5,5,4,4,4,1,3
17,1,2,1,2,2,4,4,1,1,1,1,1
18,1,1,1,2,2,5,4,1,1,1,1,1
19,3,1,1,1,1,3,3,4,1,4,4,3
20,3,1,1,1,1,3,3,4,1,4,4,3
21,1,2,2,3,2,3,4,1,3,4,3,1
22,1,2,1,2,2,3,4,1,1,4,1,1
23,1,2,4,2,3,3,5,5,3,3,1,1
24,4,4,5,4,4,2,5,5,3,4,2,3
25,1,1,1,1,1,1,5,1,1,1,1,1
26,3,3,1,2,2,1,4,1,1,1,1,1
27,3,3,1,2,2,4,3,4,2,3,4,3
28,3,2,3,2,2,4,4,4,3,4,1,3
29,3,2,3,2,2,4,4,4,3,3,1,3
30,4,4,3,4,3,3,3,5,3,3,3,3
31,1,1,1,1,1,1,5,1,1,1,1,1
32,3,3,3,3,3,1,4,1,1,2,3,2
33,3,3,1,2,2,1,2,1,2,2,3,2
34,1,1,1,1,1,1,5,1,1,1,1,1
35,3,3,2,2,2,2,2,4,2,3,2,2
36,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,5,1,1,1,1,1
38,4,2,1,3,1,1,5,1,1,4,3,1
39,1,2,1,2,2,1,5,1,4,4,1,1
40,3,2,1,2,2,3,5,1,3,3,1,3
41,3,4,1,2,4,1,4,1,1,3,4,3
42,3,3,1,4,1,1,4,1,3,3,1,1
43,3,1,1,1,1,1,3,1,1,1,1,1
44,4,4,3,2,2,3,4,5,3,4,4,4
45,5,4,3,2,4,3,2,4,3,5,4,2
46,3,3,1,1,2,1,4,1,1,1,1,1
47,3,1,1,2,1,3,4,1,4,3,1,3
48,3,3,1,4,3,4,5,4,3,3,3,3
49,3,5,1,4,4,1,2,1,4,4,4,1
50,1,3,1,1,1,1,5,1,1,1,1,1
51,4,2,1,4,3,1,5,1,4,4,1,1
52,1,2,1,2,2,1,5,1,4,4,1,1
53,3,2,4,1,2,1,5,5,1,1,1,1
54,3,2,1,1,1,1,4,1,1,3,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,4,1,1,1,1,1
57,3,2,1,2,2,3,4,1,3,3,3,3
58,3,3,1,2,2,2,4,4,3,3,2,2
59,3,2,2,3,4,5,5,5,1,1,1,1
60,3,3,2,2,2,4,5,1,3,3,3,1
61,3,3,1,2,2,1,4,1,1,3,1,1
62,4,4,1,2,4,1,4,1,1,3,1,1
63,3,2,1,2,1,1,5,1,1,3,3,1
64,3,4,3,3,3,5,5,4,3,4,3,3
65,1,1,1,2,2,1,5,1,3,4,3,3
66,1,1,1,2,2,1,5,1,3,4,3,3
67,1,1,1,2,2,1,5,1,3,4,3,3
68,3,2,3,2,2,1,5,1,3,1,1,1
69,2,2,1,1,1,3,4,1,1,1,1,1
70,3,2,1,2,2,1,3,4,3,4,3,3
71,3,3,1,1,1,3,4,1,1,4,1,1
72,1,1,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,3,3,1,1,1,1,1
74,3,2,3,3,4,2,4,1,3,2,1,2
75,3,2,1,1,1,1,4,1,1,1,1,1
76,3,2,1,1,1,1,4,1,1,1,1,1
77,3,4,2,2,4,4,4,1,3,3,2,3
78,1,1,1,1,1,1,1,1,1,1,1,1
79,2,2,1,2,2,3,4,1,2,3,1,1
80,2,2,1,2,2,3,4,1,2,3,1,1
81,3,2,1,1,1,5,4,4,3,4,1,1
82,3,2,1,1,2,1,4,1,1,1,1,1
83,3,3,1,2,2,1,5,1,1,3,3,1
84,3,3,4,4,5,1,5,1,3,3,1,3
85,4,3,1,4,4,4,4,4,3,3,3,2
86,3,4,2,3,4,3,5,5,4,4,4,3
87,3,4,5,5,4,1,4,5,4,3,3,1
88,3,3,1,4,1,1,5,1,1,1,1,1
89,3,3,4,4,3,4,4,1,3,4,3,1
90,1,2,1,1,1,1,1,1,1,1,1,1
91,4,5,3,3,4,5,5,4,5,3,3,4
92,3,2,1,2,2,3,3,1,3,3,1,2
93,3,1,1,2,4,1,3,1,3,3,1,1
94,3,4,3,4,4,4,3,4,4,3,1,4
95,1,4,3,2,2,1,5,3,1,1,1,1
96,2,3,1,2,2,4,5,4,3,3,3,3
97,4,4,3,4,4,1,4,4,4,3,3,4
98,2,4,1,2,4,3,5,5,3,1,1,1
99,2,4,1,5,4,2,5,3,4,3,3,1
100,2,5,3,5,5,4,5,5,5,4,1,5
101,3,4,2,5,5,5,5,5,5,3,1,5
102,3,4,5,4,4,1,4,4,4,3,1,4
103,1,4,1,4,4,4,5,3,4,4,1,1
104,1,1,1,1,1,4,5,3,1,1,1,1
105,2,4,3,4,4,2,4,2,3,3,2,4
106,1,4,2,4,5,5,5,3,5,3,1,1
107,5,4,1,4,2,1,4,3,3,3,3,3
108,3,4,1,4,5,1,5,1,3,2,1,1
109,1,1,1,1,1,1,5,3,3,4,1,1
110,3,2,1,2,2,1,5,4,3,1,1,1
111,3,2,1,2,4,5,5,5,5,5,4,4
112,3,3,2,3,2,1,4,1,1,1,1,1
113,1,1,1,1,1,1,1,1,1,1,1,1
114,3,2,1,2,1,1,5,4,1,3,4,3
115,1,2,1,2,2,4,4,3,3,2,4,3
116,4,2,1,2,2,3,4,3,3,3,3,3
117,1,1,1,1,1,1,1,1,1,1,1,1
118,1,1,1,2,1,3,5,1,1,5,3,1
119,1,2,2,4,4,3,5,1,3,3,1,1
120,1,1,1,1,1,2,5,1,1,1,1,1
121,3,2,1,2,1,1,4,1,3,3,4,3
122,1,4,1,2,2,4,4,1,1,1,1,1
123,5,2,1,1,1,4,5,5,3,5,2,1
124,3,1,2,2,4,3,5,4,3,4,2,1
125,1,1,1,1,1,1,1,1,1,1,1,1
126,3,2,1,1,1,1,4,3,1,1,1,1
127,3,2,1,1,1,1,1,1,1,1,1,1
128,3,3,1,2,2,1,4,5,3,3,1,1
129,2,2,1,1,2,1,4,1,1,1,1,1
130,1,2,1,2,2,3,1,1,1,1,1,1
131,3,1,1,1,2,1,1,1,1,1,1,1
132,3,2,1,1,1,1,1,1,1,1,1,1
133,1,2,1,1,4,1,4,1,1,1,1,1
134,3,3,1,2,2,1,4,1,1,3,1,1
135,3,3,3,2,2,3,3,3,3,3,3,3
136,1,1,1,1,1,1,5,1,1,1,1,1
137,1,2,2,1,1,1,1,1,1,1,1,1
138,4,4,4,4,4,1,4,1,1,1,1,1
139,1,1,1,1,1,3,4,3,3,4,1,1
140,1,3,1,2,1,5,5,3,2,1,1,4
141,4,2,1,2,2,1,5,1,1,4,1,1
142,3,2,1,1,1,1,1,1,1,1,1,1
143,4,3,1,3,2,1,5,1,1,1,1,1
144,4,4,2,4,4,4,5,4,3,3,1,1
145,1,4,2,4,4,3,5,1,3,3,1,1
146,4,2,1,2,2,3,2,5,3,3,3,3
147,5,2,1,1,1,1,2,1,1,3,1,1
148,1,2,1,1,2,1,5,1,1,1,1,1
149,3,4,4,4,3,4,4,4,3,4,4,4
150,2,2,1,2,2,3,4,1,1,1,1,1
151,1,4,1,2,1,3,4,1,4,4,3,1
152,1,1,1,1,1,1,5,1,1,1,1,1
153,3,3,2,2,3,1,1,1,3,3,3,2
154,1,2,1,1,2,3,2,1,1,4,1,1
155,3,2,1,1,1,2,4,1,1,1,1,1
156,3,2,1,2,2,2,3,1,1,1,1,1
157,3,2,3,2,2,1,4,3,1,3,1,1
158,1,1,1,1,1,3,5,3,1,1,1,1
159,1,2,4,2,3,1,4,3,1,1,1,1
160,1,4,4,4,4,1,5,3,2,2,1,1
161,1,1,1,1,2,1,5,1,1,1,1,1
162,5,4,4,2,2,1,5,3,1,1,1,1
163,1,1,1,1,1,5,1,1,1,1,1,1
164,3,3,2,2,3,3,5,3,3,3,3,3
165,3,2,1,1,1,3,5,1,1,1,1,1
166,4,4,3,3,3,1,4,4,4,4,4,4
167,1,2,1,2,2,3,3,1,1,3,3,1
168,3,2,1,2,2,1,4,1,2,1,1,1
169,3,1,1,1,1,3,2,4,3,3,1,1
170,1,1,1,1,1,3,4,1,1,1,1,1
171,2,3,1,1,2,1,4,1,1,1,1,1
172,4,3,1,3,2,4,4,1,1,1,1,1
173,4,1,1,1,2,1,5,1,1,3,1,1
174,4,4,1,3,4,1,5,1,1,3,1,1
175,5,4,1,4,5,3,4,3,4,3,1,1
176,1,1,1,1,1,3,4,1,1,4,1,1
177,3,3,3,3,3,1,5,2,3,1,1,1
178,3,2,1,2,2,1,1,1,1,1,1,1
179,4,2,1,2,2,1,4,1,1,1,3,3
180,3,4,1,4,4,3,4,3,3,3,3,3
181,1,1,1,1,1,1,1,1,1,1,1,1
182,2,5,1,2,2,2,1,2,2,2,2,1
183,1,2,1,1,1,1,4,1,1,1,1,1
184,1,2,1,1,1,5,4,4,3,3,2,1
185,3,2,1,3,2,1,4,1,3,3,2,3
186,1,1,1,1,1,4,4,1,1,1,1,1
187,1,1,1,1,1,1,2,1,1,1,1,1
188,3,2,1,2,2,3,4,3,1,1,1,1
189,2,3,1,3,4,3,5,4,5,5,1,3
190,4,4,1,2,2,4,5,3,3,4,1,3
191,3,2,1,1,1,3,3,1,1,3,1,1
192,1,1,5,4,2,1,5,3,4,1,1,2
193,3,2,1,1,1,3,4,4,2,3,1,1
194,1,2,1,2,1,3,4,1,1,5,4,3
195,2,2,1,1,1,2,4,1,1,1,1,1
196,3,2,1,1,2,3,5,1,1,3,1,1
197,2,2,1,3,3,1,5,2,1,1,1,1
198,1,2,1,1,1,1,1,1,1,1,1,1
199,4,4,4,4,4,4,4,4,4,4,4,3
200,1,1,1,1,1,1,4,4,1,1,1,1
201,3,2,1,1,1,1,5,1,1,3,1,1
202,3,2,1,3,2,1,5,1,1,2,1,1
203,3,3,3,3,3,3,3,1,3,4,1,3
204,3,2,1,2,2,1,1,1,1,1,1,1
205,3,4,4,3,3,3,4,3,3,3,3,1
206,4,2,4,5,5,2,5,5,5,4,1,5
207,3,4,1,2,3,3,5,4,3,3,1,1
208,3,2,1,1,1,3,5,3,3,3,1,2
209,3,3,3,3,3,4,4,4,3,3,3,3
210,4,4,3,3,3,1,5,4,3,5,2,3
211,3,2,1,1,2,3,5,3,3,3,4,3
212,1,3,1,2,2,1,4,1,1,1,1,1
213,3,1,1,2,3,3,4,1,1,3,3,1
214,4,3,4,4,4,4,5,4,4,4,4,4
215,3,2,2,1,1,1,4,3,3,1,3,3
216,3,2,1,2,2,1,4,1,3,4,1,1
217,1,2,2,4,2,1,4,1,1,1,1,1
218,3,1,1,1,1,3,4,4,3,1,1,1
219,4,3,3,3,4,5,5,3,4,5,4,4
220,2,3,2,2,3,3,4,3,2,3,1,1
221,1,1,2,1,1,3,5,3,3,3,2,1
222,3,2,2,2,4,3,5,3,5,4,3,3
223,1,1,1,1,1,1,1,1,1,1,1,1
224,2,2,1,2,3,4,4,4,4,3,3,2
225,1,1,1,1,1,1,1,1,1,3,1,1
226,4,4,3,2,2,1,5,1,1,1,1,1
227,1,2,2,1,1,1,5,4,1,1,1,1
228,3,3,3,3,3,2,3,3,3,3,1,2
229,3,2,1,2,1,2,2,1,1,1,1,1
230,3,2,4,3,5,4,4,5,3,1,1,3
231,3,2,4,3,5,4,4,5,3,1,1,3
232,3,2,4,3,5,5,5,5,4,3,2,3
233,3,2,3,2,2,3,3,3,3,3,3,3
234,3,1,1,2,2,3,5,2,3,3,3,1
235,1,2,1,2,2,1,1,1,1,1,1,1
236,3,2,1,2,1,1,4,3,3,3,3,3
237,4,2,2,2,2,1,5,1,3,3,1,1
238,4,2,2,2,2,1,5,1,3,3,1,1
239,3,3,2,2,3,4,4,1,3,4,1,2
240,1,1,1,1,1,1,5,1,1,1,1,1
241,3,2,1,1,1,1,2,1,1,1,1,1
242,1,4,1,1,1,3,4,1,1,1,1,1
243,3,3,3,2,2,2,4,2,3,3,3,4
244,3,1,1,1,1,1,1,1,1,1,1,1
245,4,2,3,4,3,3,4,3,3,3,4,4
246,4,3,3,2,3,2,4,3,1,1,3,1
247,4,4,4,3,4,4,4,1,4,4,3,4
248,3,2,2,1,2,3,5,3,3,3,4,3
249,3,2,1,2,2,1,5,2,1,1,1,1
250,3,2,2,2,2,1,5,1,1,1,1,1
251,5,2,2,2,2,2,4,4,2,1,1,1
252,3,2,1,1,1,2,5,1,1,3,1,1
253,4,2,1,4,4,4,5,3,4,1,1,4
254,3,2,4,2,2,2,4,1,4,4,3,2
255,1,2,1,2,1,3,3,1,1,3,2,1
256,3,4,5,4,3,5,3,4,4,3,1,3
257,3,2,1,1,1,3,5,3,3,4,3,3
258,3,4,2,2,2,2,5,3,3,3,3,3
259,1,1,1,1,1,1,1,1,1,1,1,1
260,1,2,1,1,1,1,3,1,3,4,1,1
261,4,3,3,3,4,2,5,3,3,4,4,4
262,4,5,3,5,5,1,2,3,3,4,4,4
263,3,2,3,3,3,3,3,3,3,3,3,3
264,1,2,5,3,4,3,3,3,4,4,3,3
265,3,2,1,1,1,1,3,1,1,1,1,1
266,4,4,3,2,2,4,5,5,3,3,3,3
267,3,2,1,2,2,1,4,1,3,3,1,1
268,1,1,1,1,1,1,3,1,1,1,1,1
269,3,2,2,2,2,1,4,1,3,2,2,2
270,3,2,1,2,2,3,2,1,1,1,1,1
271,4,3,2,3,3,4,3,4,4,4,4,4
272,2,2,1,2,2,2,4,2,3,3,1,2
273,3,3,2,2,2,3,4,3,3,3,3,3
274,3,3,2,2,2,3,4,3,3,3,3,3
275,1,1,1,1,1,1,3,1,1,1,1,1
276,1,1,1,2,2,4,3,1,1,3,1,1
277,4,3,1,2,2,3,5,3,3,3,3,2
278,1,1,1,1,2,1,4,3,1,3,1,1
279,3,2,1,4,1,5,5,3,3,5,1,3
280,3,2,3,2,2,3,2,3,3,3,3,3
281,3,2,1,4,3,3,4,3,1,1,1,1
282,3,2,1,1,1,1,5,1,1,1,1,1
283,1,1,1,1,1,1,5,1,1,3,1,1
284,1,2,1,2,2,2,4,1,1,3,1,1
285,3,2,1,2,2,3,2,3,3,3,3,3
286,1,4,1,2,1,1,5,4,4,4,3,1
287,1,2,1,1,1,1,5,1,1,1,1,1
288,4,2,1,1,2,3,5,4,5,4,3,1
289,4,4,1,2,3,1,5,1,3,2,2,3
290,1,1,1,1,1,1,4,1,1,3,2,1
291,4,2,1,3,2,3,4,1,1,1,1,1
292,4,4,1,4,1,4,4,1,1,1,1,1
293,1,3,1,1,1,1,1,1,1,1,1,1
294,2,1,1,1,1,4,4,3,1,1,1,1
295,3,4,1,4,4,3,2,1,3,3,1,3
296,3,2,1,2,2,1,5,1,1,1,1,1
297,4,5,1,1,2,3,5,1,4,4,1,3
298,2,2,1,1,1,3,4,1,1,1,2,1
299,1,1,1,1,1,1,1,1,1,1,1,1
300,4,3,1,3,2,1,5,1,4,5,3,1
301,4,3,2,4,3,2,4,4,4,4,4,4
302,1,1,1,1,1,1,3,1,1,1,1,1
303,3,3,1,1,1,1,5,1,3,3,1,1
304,3,3,1,2,2,3,4,1,1,1,1,1
305,3,1,1,1,1,1,5,1,1,3,1,1
306,4,2,1,1,2,1,2,1,1,1,1,1
307,3,2,1,1,1,3,4,3,1,2,1,1
308,3,2,1,2,2,3,4,1,1,1,2,1
309,3,3,1,1,1,2,5,1,1,3,1,1
310,1,1,1,1,1,3,4,1,1,1,1,1
311,1,1,1,1,1,3,4,1,1,1,1,1
312,1,5,1,5,5,1,5,5,3,5,5,5
313,1,4,1,2,2,1,3,1,1,1,1,1
314,2,1,1,1,1,1,5,3,3,3,1,3
315,3,3,3,4,4,1,4,4,4,3,1,3
316,2,2,1,4,4,2,4,1,3,3,1,1
317,1,1,1,1,2,1,4,3,3,3,2,3
318,5,2,3,2,2,3,4,3,3,3,4,4
319,4,4,1,1,1,1,2,1,2,2,3,3
320,3,1,1,1,1,1,5,3,3,3,3,1
321,1,2,1,1,1,1,5,1,1,1,1,1
322,3,2,1,1,4,1,4,1,4,4,1,1
323,3,3,1,2,1,1,5,1,3,2,1,1
324,2,4,1,3,4,1,5,4,3,3,1,2
325,4,3,3,2,3,4,4,4,4,3,1,2
326,1,1,1,1,3,5,5,3,1,4,2,1
327,4,2,1,1,1,1,4,1,1,1,1,1
328,4,2,1,1,1,1,4,3,1,1,1,1
329,3,3,2,2,3,1,3,1,2,3,4,2
330,1,2,1,2,1,1,5,1,1,2,2,1
331,2,2,1,3,4,1,2,1,1,3,1,1
332,3,4,3,3,3,1,4,1,4,3,3,3
333,4,2,1,1,1,1,5,1,1,1,1,1
334,3,2,1,2,2,1,4,2,3,3,1,1
335,3,4,1,4,2,3,4,2,2,2,1,2
336,3,2,2,2,2,1,2,1,1,3,3,2
337,3,3,1,1,1,1,3,1,1,1,1,1
338,3,2,3,1,1,3,4,1,3,3,1,2
339,3,4,4,3,3,3,5,4,3,4,2,3
340,1,2,1,2,1,1,4,1,1,1,1,1
341,4,4,2,4,2,1,4,3,3,3,3,3
342,3,2,1,2,2,1,5,1,1,1,1,1
343,3,2,1,2,2,1,5,1,1,1,1,1
344,5,4,4,3,4,4,5,5,4,4,3,4
345,5,2,1,2,2,1,5,1,1,1,1,1
346,3,2,1,2,3,1,3,3,2,4,1,3
347,3,2,3,2,2,3,4,2,3,2,1,1
348,3,2,3,2,2,1,5,4,1,1,1,1
349,4,3,3,3,3,3,4,3,3,4,3,3
350,1,1,1,1,1,1,1,1,1,1,1,1
351,4,5,3,2,2,3,2,1,4,5,4,3
352,1,1,1,2,2,3,4,4,1,1,2,1
353,1,2,1,2,1,1,4,2,1,4,1,1
354,2,2,1,1,1,2,3,3,1,1,1,1
355,3,4,3,3,1,5,5,4,3,3,1,3
356,3,1,1,1,1,1,1,1,3,2,2,1
357,4,1,1,2,4,3,4,2,1,4,1,1
358,3,3,3,2,5,1,4,1,3,3,3,1
359,1,2,1,2,2,3,4,1,1,1,1,1
360,3,2,1,3,3,3,3,3,3,1,2,3
361,3,2,3,1,1,2,3,2,1,1,2,3
362,3,4,3,3,5,4,5,3,3,3,4,2
363,3,2,3,2,2,1,5,3,3,3,1,1
364,3,3,1,1,4,4,4,1,4,2,1,1
365,3,2,1,1,2,4,5,1,3,3,1,1
366,1,5,1,1,5,2,5,4,2,2,1,1
367,1,1,1,1,1,1,5,1,1,1,1,1
368,1,1,1,1,1,1,5,1,1,1,1,1
369,1,1,1,1,1,1,5,1,1,1,1,1
370,1,1,1,1,1,1,4,1,1,1,1,1
371,1,1,1,1,1,1,3,1,1,1,1,1
372,1,1,1,1,1,1,1,1,1,1,1,1
373,3,3,1,1,4,4,4,1,4,2,1,1
374,2,2,1,1,1,2,3,3,1,1,1,1
375,1,1,1,2,2,3,4,4,1,1,2,1
376,1,1,1,1,1,1,1,1,1,1,1,1
377,1,1,1,1,1,1,1,1,1,1,1,1
378,1,1,1,1,1,1,1,1,1,1,1,1
379,2,3,1,1,4,2,4,1,4,2,1,1
380,1,1,1,1,1,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1,1,1,1,1,1
382,3,1,3,2,1,1,1,1,1,1,1,1
383,3,2,4,3,1,2,3,3,3,1,2,1
384,1,1,1,3,3,4,4,1,1,1,1,1
385,1,3,1,1,1,4,5,1,1,1,1,1
386,1,1,1,1,1,5,5,1,1,1,1,1
387,1,1,1,1,1,4,4,1,1,1,1,1
388,1,1,1,1,1,3,4,1,1,1,1,1
389,3,2,4,3,3,2,4,4,4,2,2,2
390,2,3,3,2,4,2,5,3,1,2,1,1
391,1,1,1,3,3,4,4,4,1,1,1,1
392,1,1,1,3,3,4,4,1,1,1,3,1
393,1,1,1,1,1,2,5,4,1,1,1,1
394,1,1,1,1,1,2,3,1,1,1,1,1
395,1,1,4,2,4,4,3,3,2,2,2,2
396,1,3,5,3,3,4,4,2,4,3,1,4
397,1,1,1,1,1,4,3,1,1,1,1,1
398,1,1,1,1,1,2,4,3,1,1,1,1
399,1,1,1,1,1,2,5,2,1,1,3,3
400,2,4,4,3,4,4,5,3,5,3,2,3
401,2,4,5,3,4,4,5,2,5,1,3,1
402,1,1,1,1,1,5,5,1,1,1,1,1
403,1,1,1,1,1,1,3,1,1,1,1,1
404,1,1,1,3,3,2,3,1,1,1,1,1
405,1,1,1,1,1,1,4,1,1,1,1,1
406,1,1,1,3,3,1,4,1,1,1,1,1
407,2,3,1,1,3,4,4,3,1,1,2,3
408,3,2,3,1,1,3,3,2,3,4,3,4
409,5,4,3,2,2,2,1,3,5,5,5,5
410,1,1,1,1,1,1,5,1,1,1,1,1
411,2,3,3,2,2,2,3,1,1,1,1,1
412,1,1,1,1,1,1,1,1,1,1,1,1
413,1,1,1,1,3,5,3,2,1,1,1,1
414,1,1,1,2,2,3,2,1,1,1,1,1
415,3,2,1,2,2,5,4,1,5,5,3,4
416,5,3,1,3,3,3,4,1,1,3,5,1
417,1,1,1,2,2,1,2,1,1,1,1,1
418,5,2,2,5,5,4,5,2,4,5,3,3
419,1,1,1,1,1,3,4,1,1,1,1,1
420,3,3,2,2,2,5,5,5,4,4,3,4
421,2,4,3,2,3,3,4,3,5,3,2,3
422,1,1,1,1,1,4,3,1,1,1,1,1
423,2,3,2,3,3,2,2,2,4,4,4,4
424,1,1,1,1,1,1,1,1,1,1,1,1
425,1,1,1,3,3,3,1,1,1,1,1,1
426,1,1,1,1,1,4,5,1,1,1,1,1
427,1,1,1,1,1,5,3,1,1,1,1,1
428,2,3,2,3,3,5,2,4,3,4,1,1
429,3,3,3,3,3,3,3,3,3,3,3,3
430,5,2,5,4,4,4,5,4,4,4,3,4
431,2,1,1,3,3,2,4,3,1,1,1,1
432,1,1,1,1,1,1,2,1,1,1,1,1
433,1,1,1,3,3,1,2,1,1,1,1,1
434,1,1,3,2,2,2,3,2,1,1,1,1
435,2,3,2,3,3,2,4,2,2,2,2,2
436,3,1,3,2,2,3,2,1,1,3,1,1
437,1,1,1,1,1,1,4,1,1,1,1,1
438,1,1,1,2,2,4,5,1,1,1,1,1
439,1,1,1,1,1,3,2,1,1,1,1,1
440,1,1,1,4,2,3,2,2,4,3,4,3
441,1,3,2,3,4,2,1,1,1,1,1,1
442,4,4,4,4,4,5,5,4,5,4,3,4
443,1,1,1,1,1,1,2,1,1,1,1,1
444,1,1,1,2,2,1,2,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1,1,1,1
446,1,1,1,1,1,1,5,1,1,1,1,1
447,3,2,2,2,2,3,4,2,2,2,2,2
448,2,3,1,3,3,4,4,4,4,4,3,4
449,1,3,1,3,1,1,2,1,1,1,1,1
450,1,1,1,1,1,4,5,1,1,1,1,1
451,3,3,2,3,4,3,4,4,4,4,3,4
452,5,5,5,5,5,5,5,5,5,5,5,5
453,2,4,4,4,2,4,5,5,4,5,3,4
454,1,1,1,1,1,1,4,1,1,1,1,1
455,4,3,1,3,3,4,4,4,4,2,4,4
456,1,3,1,2,2,4,4,2,1,1,1,1
457,1,1,1,1,1,1,2,1,1,1,1,1
458,1,1,1,1,1,1,5,1,1,1,1,1
459,1,1,1,1,1,3,5,1,1,1,1,1
460,1,1,1,1,1,2,4,1,1,1,1,1
461,2,1,1,2,2,2,5,4,4,4,1,1
462,1,1,1,1,1,3,5,1,1,1,1,1
463,1,1,1,1,1,2,4,1,1,1,1,1
464,1,1,1,1,1,3,1,1,1,1,1,1
465,1,1,1,1,1,4,5,1,1,1,1,1
466,1,1,1,1,1,3,4,1,1,1,1,1
467,3,2,3,2,2,3,2,3,3,3,3,3
468,4,2,1,3,1,4,4,1,1,1,1,1
469,1,1,1,1,1,4,4,1,1,1,1,1
470,2,3,3,3,2,3,2,2,3,3,2,3
471,5,4,3,4,4,4,5,5,4,5,3,4
472,3,3,2,3,3,2,3,1,1,1,1,1
473,1,1,1,1,1,1,5,1,1,1,1,1
474,1,1,1,1,1,2,4,1,1,1,1,1
475,1,1,1,1,3,3,5,1,1,1,1,1
476,1,1,1,2,2,3,1,1,1,1,1,1
477,3,2,1,3,3,4,4,1,1,1,1,1
478,1,1,1,1,1,2,5,1,1,1,1,1
479,1,1,1,3,3,3,4,1,1,1,1,1
480,1,1,1,2,2,3,2,1,1,1,1,1
481,4,3,2,4,4,4,5,3,3,4,3,3
482,3,3,3,2,2,3,5,3,1,1,1,1
483,4,2,1,2,3,4,4,4,4,3,1,1
484,1,1,1,1,1,3,5,1,1,1,1,1
485,3,3,2,2,2,2,4,4,3,3,3,3
486,1,1,1,1,1,2,2,1,1,1,1,1
487,1,1,1,1,1,3,4,1,1,1,1,1
488,1,1,1,1,1,1,1,1,1,1,1,1
489,3,3,3,3,3,3,2,3,3,3,3,3
490,2,2,2,1,1,2,4,5,1,1,1,1
491,1,1,1,1,1,3,4,1,1,1,1,1
492,1,1,1,1,1,3,2,1,1,1,1,1
493,1,1,1,1,1,4,5,1,1,1,1,1
494,3,3,2,2,2,4,4,5,4,3,3,3
495,1,1,1,3,3,4,4,1,1,1,1,1
496,1,1,1,2,2,2,2,1,1,1,1,1
497,1,1,1,1,1,3,4,1,1,1,1,1
498,3,2,2,2,2,4,5,2,1,1,1,1
499,1,1,1,1,3,3,5,1,1,1,1,1
500,3,2,2,2,3,3,5,1,1,1,1,1
